Data Through Date,Project ID,Interconnection Date,Utility,City/Town,County,ZIP Code,Division,Substation,Circuit ID,Storage Type,Developer,Metering Method,Energy Storage System Size (kWac),Georeference
12/31/2025,SDG-84288,04/11/2025,Con Ed,Pleasantville,Westchester,10570,CENY-W,Grasslands,19W14,Battery,Tesla,NM,23,POINT (-73.79191 41.13466)
12/31/2025,PAM-2019-62472,05/01/2019,PSEGLI,Bay Shore,Suffolk,11706,,2109,5801,Battery,TESLA,NM,10,POINT (-73.24917 40.72025)
12/31/2025,28743,12/19/2025,NYSEG,MARCELLUS,Onondaga,13108,Auburn,NYS-OTISCO 701,4401501,Battery,Plug PV LLC,NM,14.52,POINT (-76.34076 42.98247)
12/31/2025,PAM-2021-108998,06/15/2021,PSEGLI,N BELLMORE,Nassau,11710,,1949,1109,Battery,"EmPower CES, LLC",NM,5,POINT (-73.52456 40.66937)
12/31/2025,DGINT-14108,10/30/2024,O&R,SUFFERN,Rockland,10901,EAST,Tallman,51-2-13,Battery,Sunrun Inc,NM,5.76,POINT (-74.14974 41.11493)
12/31/2025,DGINT-15325,01/10/2025,O&R,Middletown,Orange,10940,WEST,Washington Heights,109-4-34,Battery,SolarCity,NM,11.5,POINT (-74.42261 41.44584)
12/31/2025,CH-17114,02/13/2023,Central Hudson,Lagrangeville,Dutchess,12540,Poughkeepsie,Todd Hill,6055,Battery,"Tesla Energy Operations, Inc.",NM,15.2,POINT (-73.76352 41.65055)
12/31/2025,PAM-2019-62159,04/01/2020,PSEGLI,Shelter Island,Suffolk,11964,,364,6720,Battery,Solar City,NM,10,POINT (-72.32513 41.06211)
12/31/2025,DGINT-12657,02/23/2023,O&R,MONROE,Orange,10950,CENTRAL,Monroe,61-1-13,Battery,Infinity Solar,NM,18,POINT (-74.18712 41.32822)
12/31/2025,DGINT-16370,09/17/2025,O&R,BLOOMINGBURG,Sullivan,12721,WEST,Bloomingburg,41609,Battery,Tesla Energy Operations Inc,NM,11.5,POINT (-74.44824 41.55743)
12/31/2025,DGINT-14988,09/25/2024,O&R,MIDDLETOWN,Orange,10941,WEST,Silver Lake,113-2-13,Battery,Sunrun Inc,NM,7.6,POINT (-74.36007 41.47205)
